age,Graduated,marital,Profession,defaulter,loan,CustGender,state,TransactionAmount (INR),CustAccountBalance,Annual Income,Spending Score (1-100),Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Atm Used PM,Credit Card PM,credit card repayment in days,Credit_Limit,Work_Experience,Spending_Score,Family_Size
34,Yes,married,Healthcare,no,no,M,Tennessee,315.52,4626.95,77,57,own,little,moderate,639,12,repairs,4,3,3,5176,0,Low,4
32,Yes,married,Artist,unknown,no,M,Tennessee,1050,76488.02,81,53,own,little,moderate,1860,12,car,7,1,54,3126,,Low,2
45,Yes,married,Artist,unknown,no,M,Tennessee,50,10352.64,108,71,own,little,little,3499,12,car,5,3,42,4670,1,Average,3
39,No,married,Healthcare,no,no,M,Tennessee,349,74742.99,73,24,own,NA,moderate,8487,48,car,4,2,18,2162,,Low,5
43,No,married,Lawyer,unknown,no,M,Texas,3850,29515.82,65,32,own,little,little,6887,36,education,6,2,92,10155,0,Low,1
43,Yes,married,Artist,unknown,no,M,Texas,210,106.59,115,74,own,little,NA,2708,15,Home loan,4,2,16,15242,1,High,4
52,Yes,married,Lawyer,unknown,no,M,Texas,1100,28089.34,97,57,free,little,NA,1984,18,Home loan,5,2,74,34516,0,Low,2
54,Yes,married,Artist,no,no,M,Texas,200,20910.78,111,72,own,moderate,NA,10144,60,Home Appliances,10,5,51,1438.3,0,Average,2
54,Yes,married,Artist,no,no,F,Texas,522,28099.05,111,70,own,NA,NA,1240,12,Home Appliances,2,1,1,34516,1,Average,2
31,Yes,single,Healthcare,no,no,M,Texas,286,54265.8,130,77,own,rich,NA,8613,27,car,7,6,35,16043,6,Average,2
35,Yes,married,Entertainment,no,no,M,Texas,100,3701.71,94,64,own,quite rich,moderate,766,12,Home Appliances,8,7,28,3181,7,Low,2
28,No,married,Entertainment,no,no,M,Utah,270,511134.58,73,20,own,NA,moderate,2728,15,Home Appliances,6,0,98,27088,1,Low,4
56,Yes,married,Entertainment,no,yes,F,Utah,565,3303.46,86,50,rent,little,rich,1881,12,Home Appliances,4,0,6,5688,0,Low,6
35,Yes,single,Marketing,unknown,no,M,Utah,560,14892.7,110,63,own,rich,rich,709,6,car,8,11,2,10462,0,Low,4
45,Yes,married,Artist,unknown,no,F,Utah,100,19577.25,79,53,own,little,moderate,4795,36,Home Appliances,4,0,32,5249,,Low,
38,No,married,Executive,no,no,M,Vermont,1620,6988.14,120,54,own,little,little,3416,27,Home Appliances,4,1,29,5155,5,High,3
42,Yes,married,Lawyer,no,no,F,Virginia,557,338144.02,89,52,own,little,little,2462,18,Home loan,3,2,33,10705,9,Low,2
44,No,married,Lawyer,no,no,M,Virginia,100,34114.16,109,52,own,little,NA,2288,21,Home loan,6,0,99,16494,1,High,3
58,Yes,divorced,Marketing,no,no,F,Virginia,648,157644.89,94,74,own,moderate,moderate,3566,48,business,3,7,44,6469,9,Low,4
43,Yes,divorced,Artist,no,no,M,Washington,170,16998.39,118,75,own,little,little,860,6,car,3,2,12,5146,1,Average,1
37,No,married,Homemaker,no,no,F,Washington,372.2,141891.55,63,23,own,moderate,NA,682,12,car,1,1,95,2800,2,Low,1
45,No,married,Healthcare,unknown,no,M,Washington,50,6609.59,61,48,own,little,little,5371,36,Home loan,3,1,75,5159,0,Low,7
59,No,married,Marketing,no,no,M,Washington,100.85,6481.02,73,48,own,rich,NA,1582,18,Home Appliances,5,10,73,5248,1,Low,3
50,No,married,Lawyer,unknown,no,M,Washington,200,6374.5,117,59,free,moderate,NA,1346,6,Home Appliances,6,4,80,5881,0,High,2
41,Yes,married,Healthcare,no,yes,F,Washington,250,14633.58,110,56,own,little,NA,1924,10,Home Appliances,3,0,45,1467,0,Low,3
33,Yes,married,Executive,no,no,M,Washington,60,16866.81,113,66,own,little,rich,5848,36,Home Appliances,7,3,32,4999,1,Average,4
46,No,married,Healthcare,no,no,F,Washington,390,4688.5,60,32,rent,rich,moderate,7758,24,car,3,3,97,4668,1,Low,5
30,Yes,single,Artist,no,no,M,Washington,680,15520.27,123,84,rent,moderate,moderate,6967,24,business,4,7,13,1438.3,0,Average,3
28,No,single,Healthcare,no,no,M,Washington,865,36094.41,65,18,rent,little,little,1282,12,Home loan,2,3,35,8638,0,Low,3
58,Yes,married,Engineer,no,yes,M,Washington,6000,5141.11,83,65,own,moderate,little,1288,9,repairs,5,7,65,9343,1,Low,1
43,No,married,Doctor,no,no,M,Washington,30,6.71,62,49,own,little,little,339,12,education,6,0,11,2256,2,Low,4
39,No,married,Healthcare,no,no,F,Wisconsin,573.86,16838.56,77,31,own,moderate,moderate,3512,24,car,0,3,50,8267,9,Low,5
25,No,married,Healthcare,unknown,no,M,Wisconsin,20,1932.62,59,26,own,NA,NA,1898,6,Home Appliances,4,0,89,2235,3,Low,5
39,Yes,single,Doctor,no,no,M,Arizona,440,3.38,135,89,own,moderate,NA,2872,24,Home Appliances,6,8,70,3735,0,High,3
42,No,married,Healthcare,unknown,no,M,Arizona,170,20740.67,57,30,own,little,NA,1055,18,car,5,2,28,2111,7,Low,5
43,No,married,Artist,no,no,M,Arizona,220,2080.91,65,23,own,quite rich,NA,1262,15,domestic appliances,9,5,44,10604,7,Low,1
43,No,married,Healthcare,no,no,M,Arkansas,4918,652500.87,68,29,free,little,moderate,7308,10,car,5,1,85,21782,4,Low,5
33,No,single,Healthcare,no,no,M,California,27,2080.91,69,8,own,quite rich,NA,909,36,car,3,6,29,2133,1,Low,7
52,Yes,married,Artist,no,no,M,California,23000,194726.29,99,60,own,quite rich,NA,2978,6,Home loan,8,4,4,16677,4,Low,1
42,Yes,married,Artist,no,no,M,California,1020,62172.3,109,67,own,little,little,1131,18,Home loan,5,3,11,2717,9,Low,1
53,Yes,married,Artist,unknown,no,M,California,995,3511.62,93,63,own,rich,moderate,1577,11,Home loan,5,10,53,3980,0,Low,1
41,No,married,Artist,no,no,M,California,265,149.62,90,55,rent,little,NA,3972,24,Home loan,6,2,83,8411,5,Average,2
48,No,married,Engineer,no,no,M,California,26,30065.02,119,51,own,little,moderate,1935,24,business,4,0,57,2227,1,High,4
40,Yes,single,Entertainment,no,no,F,California,685,39917.14,140,81,rent,little,little,950,15,car,4,0,92,34516,1,High,2
40,No,single,Lawyer,no,yes,M,California,440,4738.18,65,1,own,little,NA,763,12,Home loan,2,3,50,1860,1,Low,1
53,Yes,married,Executive,unknown,yes,M,California,55,20278.39,126,81,own,little,moderate,2064,24,Home loan,7,1,7,2829,0,High,6
55,Yes,married,Artist,no,no,F,California,881,32999.8,103,60,own,little,moderate,1414,8,Home Appliances,2,1,81,3764,6,Low,4
39,Yes,married,Artist,no,no,M,California,100,59311.52,88,60,own,little,little,3414,21,education,4,2,76,4559,4,Low,2
35,No,married,Executive,no,yes,M,California,39,12090.65,86,57,own,NA,NA,7485,30,car,7,3,45,4701,0,Average,3
50,No,divorced,Artist,unknown,no,M,California,80,342.98,82,19,own,little,little,2577,12,Home loan,4,0,86,1631,0,Low,3
38,Yes,divorced,Engineer,no,no,F,California,449,8207.08,100,80,own,quite rich,little,338,6,Home Appliances,1,5,32,8096,1,Low,2
41,Yes,married,Artist,unknown,no,M,California,1000,10583.78,103,80,rent,little,NA,1963,12,Home Appliances,4,3,68,2304,,Average,2
44,Yes,married,Lawyer,unknown,no,F,California,27,15128.88,105,57,own,little,little,571,21,car,2,1,17,5210,1,Low,1
39,Yes,married,Artist,unknown,no,M,California,25,14285.54,118,63,own,little,NA,9572,36,business,3,3,53,5452,5,Average,2
44,Yes,married,Executive,no,no,M,California,1000,28049.79,133,81,own,little,moderate,4455,36,business,3,3,26,7475,1,High,3
51,Yes,married,Entertainment,no,yes,M,California,5000,17630.62,100,63,own,NA,little,1647,21,car,7,1,78,2359,8,Average,
41,No,married,Healthcare,no,yes,M,California,320,19883.85,57,22,own,rich,NA,3777,24,Home loan,3,9,76,4237,0,Low,5
31,No,married,Doctor,no,no,F,California,400,17178.14,107,45,own,little,moderate,884,18,car,4,3,95,18582,11,Average,2
40,Yes,married,Healthcare,no,no,F,California,200,5291.88,125,89,own,little,NA,1360,15,Home Appliances,3,3,32,7202,1,High,3
38,Yes,single,Artist,no,no,F,California,1500,18314.9,115,83,free,little,moderate,5129,9,car,2,0,46,1438.3,2,Average,2
48,No,married,Entertainment,no,yes,M,California,150,23407.05,117,68,free,little,moderate,1175,16,car,7,3,99,11221,1,High,3
32,Yes,married,,no,no,F,Colorado,425,33143.49,103,58,own,moderate,little,674,12,Home Appliances,0,3,35,18889,2,Low,1
46,Yes,single,Entertainment,no,no,M,Colorado,300,4006.73,106,64,own,little,moderate,3244,18,Home loan,3,2,22,2066,1,Low,1
49,Yes,married,Artist,unknown,no,M,Colorado,303.89,9257.68,73,68,own,rich,NA,4591,24,business,3,9,58,34516,7,Low,2
47,Yes,married,Artist,no,yes,F,Colorado,267,47752.54,103,65,free,moderate,moderate,3844,48,business,5,3,63,2742,9,Low,2
28,Yes,married,Artist,unknown,no,F,Colorado,360.12,219374.07,93,66,own,little,moderate,3915,27,business,2,1,89,20050,,Average,4
38,No,single,Executive,unknown,no,M,Colorado,7799,570837.46,88,21,rent,little,NA,2108,6,Home Appliances,4,2,88,3046,2,Low,2
28,No,married,Doctor,unknown,no,M,Colorado,245,14966.94,110,48,rent,moderate,moderate,3031,45,Home Appliances,10,6,88,6193,4,Average,2
51,No,married,Doctor,no,no,F,Colorado,1500,12609.76,84,42,own,little,moderate,1501,9,education,5,1,46,5634,1,Average,2
50,No,married,Entertainment,no,no,M,Colorado,2214.78,81019.33,59,26,own,little,NA,1382,6,Home Appliances,5,1,15,4507,0,Low,5
38,Yes,single,Artist,unknown,yes,M,Connecticut,540,7389.46,104,71,rent,moderate,moderate,951,12,Home loan,5,6,79,3040,1,Average,3
48,Yes,married,Artist,no,no,M,Delaware,2000,763.98,72,63,free,NA,moderate,2760,24,car,6,0,28,21006,1,Low,1
44,Yes,divorced,Executive,no,no,M,District of Columbia,100,4665.3,132,80,own,little,moderate,4297,18,Home loan,4,0,83,7326,9,High,6
30,Yes,married,Artist,no,no,F,Florida,1075,6554.96,94,69,own,quite rich,NA,936,9,education,5,0,80,3651,0,Average,2
34,Yes,single,Healthcare,no,no,M,Florida,1154,4460.02,99,80,own,little,little,1168,12,car,4,2,0,3416,,Low,6
36,Yes,married,Artist,no,no,M,Florida,10396,7012.73,109,60,own,little,NA,5117,27,business,7,3,34,3664,0,Low,1
41,Yes,married,Entertainment,unknown,no,M,Florida,5,399719.15,80,70,rent,little,little,902,12,education,7,3,72,6085,0,Low,4
40,Yes,married,Doctor,unknown,no,M,Florida,250,73912.97,92,60,own,little,NA,1495,12,car,7,2,96,22332,12,Low,2
35,No,married,Healthcare,no,yes,M,Florida,2090,24282.51,74,46,free,little,little,10623,30,car,3,0,98,2063,0,Low,5
46,Yes,married,Executive,unknown,no,M,Florida,1758.4,1577984.15,121,76,own,little,NA,1935,12,Home loan,6,3,37,4429,4,High,3
35,Yes,married,Healthcare,no,no,M,Florida,286,455539.66,97,60,own,little,moderate,1424,12,domestic appliances,7,1,61,3991,0,Average,4
32,Yes,single,Doctor,no,no,F,Florida,199,152.02,118,84,own,little,little,6568,24,business,2,0,23,2201,1,Average,6
34,Yes,married,Artist,unknown,no,M,Florida,322.5,175655.8,113,74,own,rich,NA,1413,12,car,4,7,56,2852,1,Average,2
35,Yes,married,Artist,no,no,F,Florida,3410,719551.68,88,61,own,NA,NA,3074,9,Home Appliances,0,2,33,9723,8,Low,1
28,Yes,single,Artist,no,no,F,Florida,19000,39421.11,115,75,own,NA,NA,3835,36,Home Appliances,4,2,76,5325,1,Average,4
30,No,married,Healthcare,unknown,no,M,Florida,269,56202.21,78,25,own,little,little,5293,27,business,3,3,25,7427,0,Low,7
48,No,married,Lawyer,no,yes,M,Florida,1495,136.2,92,62,own,little,rich,1908,30,business,6,2,4,5619,0,High,2
53,No,married,Entertainment,no,yes,M,Florida,7050,616.64,72,24,own,NA,NA,3342,36,Home Appliances,7,0,28,5413,4,Low,1
31,Yes,married,Artist,no,yes,M,Georgia,120,1054.7,106,61,own,NA,moderate,932,6,education,6,2,43,7646,0,Average,2
59,Yes,married,Artist,no,no,M,Georgia,187,45407.82,79,66,own,little,little,3104,18,business,5,1,39,2420,3,Low,4
51,Yes,married,Artist,no,no,M,Georgia,1920,10080.38,117,71,own,little,rich,983,36,Home Appliances,7,3,94,4252,1,High,2
47,Yes,married,Healthcare,unknown,no,M,Georgia,8000,763.98,99,61,rent,little,little,14204,24,Home loan,7,1,4,2031,1,Low,4
40,Yes,married,Artist,unknown,no,F,Georgia,5382.74,2865.36,93,55,own,little,NA,1364,10,car,5,2,97,6861,1,Low,
42,Yes,single,Lawyer,no,no,M,Georgia,620,724136.54,122,78,own,little,moderate,625,12,Home Appliances,4,2,60,3327,1,Average,2
30,No,married,Artist,unknown,no,F,Georgia,365,3040.32,64,20,rent,NA,little,1200,12,education,0,1,11,2885,0,Low,1
40,Yes,married,Healthcare,no,no,M,Georgia,51,6188.94,88,69,own,little,NA,707,12,Home Appliances,5,2,8,7272,0,Low,3
30,No,married,,unknown,no,F,Georgia,17500,81427.22,59,36,own,NA,NA,2978,24,business,0,2,32,34516,8,Low,3
50,Yes,married,Executive,no,no,M,Georgia,33,161.13,116,86,own,little,NA,4657,15,car,3,1,53,2515,0,High,4
36,Yes,married,Homemaker,unknown,no,F,Georgia,6401,104755.95,110,89,own,little,NA,2613,36,repairs,3,3,67,2798,0,High,2
29,Yes,single,Entertainment,no,no,M,Georgia,360,6587.39,105,65,own,rich,moderate,10961,48,Home Appliances,8,10,56,34516,14,Low,1
43,No,married,Healthcare,no,no,M,Hawaii,115,1016385.26,68,36,free,little,little,7865,12,Home loan,7,1,6,1438.3,,Low,4
35,Yes,married,Engineer,no,no,M,Illinois,1953,19599.99,81,58,own,little,NA,1478,9,Home Appliances,3,3,13,12609,8,Low,2
35,Yes,single,Artist,unknown,no,M,Illinois,1500,27021.05,122,84,free,little,little,3149,24,Home loan,2,2,43,19159,4,Average,4
48,Yes,divorced,Artist,no,no,M,Illinois,1265,1340.03,108,72,own,little,rich,4210,36,Home Appliances,3,3,51,9642,9,Low,1
49,No,married,Healthcare,no,no,M,Illinois,700,25372.81,74,25,free,quite rich,NA,2507,9,car,6,4,14,8396,1,Low,3
44,Yes,married,Doctor,unknown,yes,F,Indiana,280,118.51,99,53,own,moderate,NA,2141,12,Home Appliances,3,3,83,6978,14,Low,8
32,Yes,married,Entertainment,no,no,M,Indiana,363,12677.17,108,65,own,little,moderate,866,18,Home Appliances,4,1,0,2459,11,Low,3
55,Yes,married,Artist,no,no,M,Indiana,250,1488.08,98,63,own,little,NA,1544,4,Home Appliances,5,1,7,12956,1,Average,2
41,No,married,Healthcare,unknown,yes,F,Indiana,299,854283.14,79,27,own,little,little,13732,24,Home Appliances,5,1,61,7128,1,Low,5
27,No,single,Marketing,unknown,no,M,Indiana,250,3954.56,118,80,own,NA,moderate,4284,6,car,3,2,28,18749,0,High,5
41,No,married,Executive,no,no,M,Indiana,50,9600.05,102,66,rent,moderate,moderate,10993,21,business,6,7,72,2193,4,High,4
36,No,married,Executive,unknown,no,F,Indiana,6017,650.03,109,53,own,little,NA,6169,12,Home Appliances,4,2,27,4522,1,Average,4
45,No,married,Homemaker,no,no,M,Indiana,254,2825.87,94,55,own,little,little,5789,30,Home Appliances,3,3,52,2157,3,High,3
36,,married,Marketing,no,no,M,Iowa,10,2341.18,113,,own,NA,little,17591,24,car,6,1,12,11927,1,Average,3
54,Yes,married,Doctor,no,no,M,Iowa,8500,28206.35,85,59,own,little,NA,10447,6,Home Appliances,4,0,23,11341,9,Low,2
48,Yes,married,Artist,unknown,yes,M,Kansas,298,11125.53,82,54,free,little,little,8720,48,car,5,2,59,7345,3,Low,1
32,No,married,Healthcare,unknown,no,M,Kentucky,10,5677.04,78,45,own,little,NA,2790,12,business,4,3,57,6036,1,Low,3
33,Yes,married,Engineer,no,yes,M,Kentucky,1809.01,13975,83,68,own,quite rich,NA,6346,12,education,10,7,92,2096,0,Low,1
43,No,married,Engineer,unknown,no,F,Kentucky,50,1398.47,78,43,own,little,NA,13165,24,business,2,0,60,1906,0,Low,3
44,No,single,Lawyer,no,no,M,Louisiana,118,2512.09,89,25,own,little,NA,6578,12,Home Appliances,3,3,20,5039,1,Low,1
50,Yes,married,Doctor,no,no,M,Louisiana,11248,29971.16,70,55,rent,moderate,NA,14723,6,car,9,6,29,6214,0,Low,3
32,Yes,single,Entertainment,no,no,M,Louisiana,1850,118222.82,111,70,own,little,rich,15613,24,Home loan,3,1,52,1512,0,Average,7
43,Yes,married,Artist,unknown,no,M,Maryland,50,2266.91,83,69,rent,little,NA,342,18,Home Appliances,7,3,11,34516,9,Low,2
32,No,single,Doctor,no,no,M,Maryland,812,13561.02,76,13,own,rich,little,14530,6,car,7,13,42,3346,9,Low,3
43,Yes,married,Executive,unknown,no,F,Maryland,480,41366.18,112,80,own,little,rich,6943,12,Home loan,2,2,2,34516,0,High,2
40,No,divorced,Entertainment,no,no,F,Maryland,115,1091586.83,69,5,own,little,moderate,9789,30,car,0,2,68,6660,1,Low,2
24,Yes,single,Doctor,no,yes,F,Massachusetts,52,17138.78,107,71,own,moderate,NA,449,24,Home loan,3,8,67,2234,0,Low,2
32,No,married,Engineer,no,yes,M,Massachusetts,210,5624.5,57,35,own,NA,moderate,903,9,Home loan,4,3,75,9671,0,Low,6
43,No,married,Engineer,unknown,yes,M,Massachusetts,210,22.41,68,40,own,NA,moderate,13722,60,Home Appliances,6,0,14,6605,0,Low,5
43,Yes,single,Healthcare,no,no,M,Massachusetts,1449,154192.98,109,75,own,little,NA,9734,24,Home Appliances,4,2,49,3083,3,Low,2
35,No,married,Engineer,no,yes,M,Massachusetts,1000,50849.92,55,49,free,little,little,12419,12,Home Appliances,7,2,8,5456,0,Low,1
33,Yes,single,Lawyer,unknown,no,M,Massachusetts,3200,321710.27,132,94,own,moderate,NA,6672,15,car,6,6,31,4394,1,High,2
43,Yes,married,Artist,unknown,no,M,Michigan,1386,283041.39,86,54,own,moderate,NA,9700,11,Home Appliances,10,6,84,4088,0,Low,3
48,Yes,married,Homemaker,unknown,no,F,Michigan,357.87,278655.61,120,83,own,little,little,7865,12,Home loan,4,2,15,3930,12,High,2
52,Yes,married,Healthcare,no,no,M,Minnesota,100,105.62,106,54,own,little,little,3565,24,Home Appliances,5,3,49,4188,1,Low,4
49,Yes,married,Homemaker,unknown,no,M,Minnesota,120,79613.4,98,53,free,little,little,2304,18,car,4,1,27,3637,9,Low,
30,No,married,Lawyer,no,yes,F,Minnesota,8600,76472.7,72,50,free,little,NA,5135,12,education,4,0,94,11521,1,Low,1
36,Yes,married,Artist,no,no,F,Minnesota,500,2705.75,98,65,own,little,NA,15354,10,car,1,1,82,2253,14,Low,1
39,No,married,Lawyer,no,no,F,Mississippi,189,6600.85,106,50,own,little,moderate,4345,15,Home Appliances,3,4,82,2339,0,High,2
39,Yes,married,Artist,no,no,M,Missouri,166.63,88310.5,91,79,own,NA,NA,16831,36,business,5,0,77,30503,1,Average,3
36,Yes,divorced,Entertainment,no,no,M,Nebraska,296,71.34,94,64,own,little,NA,8270,24,Home Appliances,2,1,22,4596,1,Low,1
39,Yes,married,Artist,no,no,M,Nevada,439,11291.72,79,66,own,little,little,12220,14,car,7,1,60,5701,8,Low,2
31,Yes,married,Doctor,no,no,M,Nevada,100000,1586508.61,99,62,own,NA,NA,18218,24,Home Appliances,4,3,2,3221,1,Low,2
41,,married,Entertainment,no,yes,M,New Hampshire,297,39265.91,120,,own,NA,NA,17184,18,car,7,1,33,3022,,Average,5
35,No,married,Entertainment,no,no,M,New Hampshire,53,,61,31,rent,quite rich,NA,15152,12,Home loan,9,7,81,2699,1,Low,
55,No,married,Healthcare,unknown,no,M,New Jersey,78,5683.89,66,38,free,NA,moderate,4546,48,car,5,0,90,2210,0,Low,5
57,Yes,married,Artist,unknown,no,M,New Jersey,550,84424.95,95,68,own,little,moderate,6690,48,Home Appliances,6,2,56,1438.3,1,Average,2
38,Yes,married,Doctor,no,no,M,New Jersey,200,2292.64,82,54,own,little,little,17512,30,repairs,5,3,71,2041,0,Low,7
52,No,married,Engineer,no,no,M,New Jersey,3980,656397.94,55,23,own,little,NA,13033,9,Home Appliances,3,3,44,3250,6,Low,2
60,No,married,Artist,no,no,M,New Jersey,1600,3798.44,80,23,own,little,NA,4433,18,Home Appliances,3,3,29,1643,1,Low,3
24,Yes,single,Engineer,no,no,M,New Jersey,150,3969.33,94,67,own,NA,little,5258,12,Home loan,2,0,37,34516,0,Low,1
38,No,married,Healthcare,no,no,M,New Jersey,574,13061.74,52,30,own,little,NA,13240,6,Home loan,3,2,85,29543,1,Low,5
44,Yes,divorced,Healthcare,no,no,M,New Jersey,94,51551.72,98,73,rent,moderate,NA,10036,24,Home Appliances,3,8,3,3158,0,Low,5
42,Yes,married,Healthcare,unknown,no,M,New Mexico,497,17675.57,94,64,rent,rich,NA,3253,15,car,4,9,86,2899,9,Low,6
25,Yes,divorced,Artist,no,no,M,New Mexico,268,21421.37,105,79,own,little,NA,14876,12,Home loan,4,1,27,2972,0,Average,4
32,Yes,married,Executive,no,no,F,New Mexico,250,31487.62,137,88,own,NA,rich,13165,18,Home Appliances,2,4,19,5645,8,High,2
51,No,married,Engineer,unknown,no,F,New York,300,148928.55,69,33,own,NA,NA,14911,15,Home loan,0,1,15,2463,0,Low,1
28,Yes,single,Entertainment,no,no,F,New York,5755,1468.29,90,76,own,moderate,moderate,12482,24,car,2,7,65,1438.3,3,Low,5
27,Yes,married,Artist,no,no,M,New York,1926,440463.42,112,73,own,little,little,13812,47,car,3,1,54,34516,0,Average,3
35,No,married,Entertainment,no,no,M,New York,4966.81,108688.37,61,42,own,little,little,4463,48,car,3,0,31,2897,0,Low,3
45,No,married,Homemaker,no,yes,M,New York,211,107409.7,52,22,free,moderate,moderate,12005,48,vacation/others,7,4,92,5391,,Low,1
30,Yes,single,Artist,no,no,M,New York,363,11205.93,93,77,own,little,moderate,389,12,Home Appliances,4,2,39,2870,12,Low,1
60,Yes,married,Executive,no,no,M,New York,270.8,7380.28,128,74,own,little,little,13813,24,Home Appliances,5,1,16,23959,9,High,4
28,No,single,Artist,no,no,M,New York,1326,4086.88,96,55,own,little,NA,11033,12,business,4,3,27,14918,0,Average,2
45,Yes,married,Entertainment,unknown,yes,M,North Carolina,500,1320.2,111,79,rent,little,moderate,10247,36,car,5,1,25,3590,0,Average,2
37,Yes,married,Artist,no,no,M,North Carolina,20,8813.24,97,59,free,little,little,13059,24,car,3,2,27,2297,5,Low,2
37,Yes,married,Artist,no,yes,M,North Dakota,206,12969.97,92,68,free,little,rich,6970,42,car,6,1,77,25058,6,Low,2
36,No,married,Engineer,no,no,M,Ohio,200,4838.52,72,35,own,NA,NA,8152,48,business,5,2,96,7418,1,Low,5
49,Yes,married,Artist,no,no,M,Ohio,785.1,8550.29,108,67,own,little,moderate,17983,48,Home loan,7,0,14,3012,9,Average,2
35,Yes,married,Artist,unknown,no,F,Oklahoma,3050,37138.99,112,75,rent,NA,NA,17155,12,car,4,4,59,4562,2,High,3
34,No,single,Healthcare,no,no,F,Oregon,20,8164.64,76,30,own,NA,NA,2228,10,car,3,0,81,10723,0,Low,8
31,Yes,married,Lawyer,no,no,M,Oregon,100,38583.59,118,83,own,little,NA,13953,18,Home loan,3,0,44,1578,1,High,2
42,Yes,married,Artist,unknown,no,M,Oregon,216.5,50908.4,82,53,own,rich,moderate,15343,21,Home loan,3,8,26,2094,10,Low,1
39,Yes,married,Artist,no,no,M,Oregon,37,9600.05,113,62,own,little,NA,9495,6,car,3,3,82,4138,1,Average,3
33,No,married,Healthcare,no,no,M,Oregon,300,5294.18,68,29,own,little,moderate,1303,36,Home Appliances,4,3,7,5417,5,Low,3
38,Yes,married,Doctor,no,yes,M,Oregon,4749.36,294835.3,104,51,own,NA,rich,754,24,car,6,2,92,34516,1,Low,3
30,Yes,divorced,Doctor,unknown,no,M,Oregon,50,4213.58,106,74,own,little,little,7150,10,car,4,2,7,9592,1,Average,2
31,Yes,divorced,Artist,no,no,F,Oregon,294,13148.92,121,72,free,quite rich,NA,15018,48,car,2,8,9,8881,1,Average,2
39,No,married,Healthcare,no,no,M,Oregon,190,3185.94,80,40,own,rich,NA,6744,6,Home loan,3,7,31,1438.3,1,Low,2
37,Yes,married,Artist,unknown,no,F,Oregon,738,126654.62,87,70,own,NA,NA,1140,30,car,4,2,96,3893,1,Low,4
48,Yes,married,Lawyer,unknown,no,M,Pennsylvania,4000,211182.99,81,61,own,moderate,little,6123,12,Home Appliances,5,5,72,3242,0,Low,
32,No,married,Healthcare,no,no,M,Pennsylvania,749,1510.1,57,35,free,little,moderate,13161,8,Home loan,6,1,96,6035,0,Low,4
48,Yes,married,Entertainment,no,no,M,Pennsylvania,300,34836.95,104,51,free,little,moderate,17318,9,car,7,3,6,17642,6,Low,3
37,No,single,Doctor,no,no,F,Pennsylvania,526,1193.99,78,12,free,NA,moderate,8481,48,vacation/others,4,3,41,4327,1,Low,4
37,Yes,single,Entertainment,no,no,F,Pennsylvania,50,52176.26,96,72,own,moderate,NA,17251,24,Home loan,3,5,64,34516,0,Low,2
26,Yes,divorced,Healthcare,no,no,F,Pennsylvania,395.59,8632.63,108,73,rent,little,rich,3397,24,Home loan,5,2,2,4852,2,Low,2
33,No,married,Entertainment,unknown,no,F,Rhode Island,597,77651.2,101,43,own,little,moderate,6692,12,car,0,2,57,7147,0,Average,4
54,No,married,Healthcare,no,no,F,South Carolina,755,35178.41,55,26,own,NA,rich,2881,4,car,1,1,56,10320,4,Low,4
37,No,married,Healthcare,unknown,no,F,South Carolina,1699,1033.84,67,27,rent,little,little,12210,36,Home loan,5,3,10,3297,0,Low,5
35,No,married,,no,yes,M,South Carolina,128,80579.53,98,48,rent,little,little,10660,12,Home loan,7,2,98,9981,1,Average,6
45,Yes,married,Artist,no,no,F,South Carolina,715.2,9016.56,109,52,own,NA,moderate,18412,24,Home loan,0,1,23,3329,10,Low,2
33,No,single,Lawyer,no,no,F,South Dakota,2600,95048.37,100,78,own,little,NA,12215,12,education,2,2,99,5991,1,High,2
54,No,married,Doctor,no,no,M,South Dakota,3302,74869.81,51,25,rent,little,little,13029,15,Home loan,5,0,91,3235,8,Low,1
37,Yes,married,Artist,no,yes,M,South Dakota,1,1222.59,90,55,own,little,moderate,9279,30,car,6,0,72,6259,,Low,1
35,Yes,married,Artist,unknown,no,M,South Dakota,540,3520.08,100,59,own,little,little,7154,24,Home Appliances,6,0,70,2541,1,Low,3
33,No,divorced,Marketing,unknown,no,F,South Dakota,3220,73452.89,80,12,own,little,little,2576,24,car,0,3,84,21351,,Low,
49,No,married,Artist,no,no,M,Tennessee,152,266380.93,98,40,free,rich,little,17249,18,Home loan,2,7,95,8998,0,Average,2
43,No,married,Lawyer,no,no,M,Tennessee,240,1679.51,65,36,own,little,NA,3905,18,car,4,0,51,10247,1,Low,2
43,Yes,married,Artist,no,no,F,Tennessee,1000,5642.37,74,68,own,little,little,6815,8,car,5,3,75,20311,1,Low,3
39,No,married,Executive,no,no,F,Tennessee,4213,196171.36,110,63,rent,NA,NA,13987,12,Home loan,4,4,29,33182,,High,4
47,Yes,married,Artist,no,no,M,Texas,183,25138.75,78,68,rent,rich,NA,461,24,car,4,10,85,1686,,Low,2
30,Yes,divorced,Artist,no,no,M,Texas,6300,1125922.25,105,74,own,little,rich,1702,36,Home Appliances,4,3,29,4742,1,Low,3
51,Yes,divorced,Homemaker,no,no,F,Texas,121,47959.3,107,77,own,little,moderate,18195,6,Home Appliances,1,0,8,1726,8,Low,1
